Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;5.75;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3174
Titolare;Bastoni A.;D;5.5;;1389
Titolare;Miranda J.;D;6.5;;3395
Titolare;Hermoso;D;6;;3514
Riserva;Gutierrez;D;;;3790
Titolare;Scalvini;D;6.5;;2561
Titolare;Mctominay;C;7;imgBonus size-s imgBonus_1;3488
Titolare;Prati;C;6;;3189
Titolare;Zalewski;C;5;;2382
Titolare;Soule;A;6.5;imgBonus size-s imgBonus_9;2604
Titolare;Douvikas;A;5;;3598
Riserva;Martinez J.;P;;;3065
Riserva;Adopo;C;6;imgBonus size-s imgBonus_6;1738
Riserva;Bernabe;C;6;;3378
Titolare;Martin;D;6;;3068
Riserva;Kelly;D;6.5;;3584
Riserva;Ranieri;D;6;;1587
Riserva;Bowie;A;7;imgBonus size-s imgBonus_1;3901
