Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Okoye;P;6.75;imgBonus size-s imgBonus_10;3210
Titolare;Solet;D;7;;3541
Titolare;Marcandalli;D;6;;3362
Titolare;Belghali;D;5.5;;3789
Titolare;Rowe;C;6;;3794
Titolare;NDour;C;6;;3585
Titolare;Bernardeschi;C;6.5;imgBonus size-s imgBonus_9;86
Titolare;Davis;A;6.5;;3230
Titolare;Thuram;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;3073
Titolare;Esposito Pio;A;5.25;;3744
Titolare;Malen;A;8.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;3877
Riserva;Suzuki;P;6.25;imgBonus size-s imgBonus_2;3408
Riserva;Corvi;P;;;2183
Riserva;Rinaldi;P;;;2376
Riserva;Kone I.;C;7;imgBonus size-s imgBonus_1;3771
Riserva;Toure I.;C;5;imgBonus size-s imgBonus_6;3725
Riserva;Akanji;D;6.25;imgBonus size-s imgBonus_6;3818
Riserva;Kamara;D;6;;3085
