Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3174
Riserva;Bastoni A.;D;;;1389
Titolare;Gutierrez;D;6.5;;3790
Riserva;Martin;D;;;3068
Titolare;Hermoso;D;5.75;imgBonus size-s imgBonus_6;3514
Titolare;Mctominay;C;7.25;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_4|imgBonus size-s imgBonus_15;3488
Titolare;Zalewski;C;5.5;;2382
Titolare;Bernabe;C;6.25;;3378
Titolare;Adopo;C;6.5;imgBonus size-s imgBonus_9;1738
Titolare;Soule;A;5.75;;2604
Titolare;Douvikas;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;3598
Riserva;Martinez J.;P;;;3065
Riserva;Bowie;A;5.75;;3901
Riserva;Prati;C;;;3189
Riserva;Bondo;C;5;;2798
Titolare;Scalvini;D;5.25;imgBonus size-s imgBonus_9;2561
Titolare;Kelly;D;6.5;;3584
Riserva;Miranda J.;D;5.5;;3395
