Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Suzuki;P;6.5;imgBonus size-s imgBonus_10;3408
Titolare;Belghali;D;6.25;;3789
Titolare;Akanji;D;5.75;;3818
Titolare;Bisseck;D;7;imgBonus size-s imgBonus_1;3093
Titolare;Solet;D;4.5;;3541
Titolare;Rowe;C;5.5;;3794
Titolare;Kone I.;C;6;;3771
Titolare;Orsolini;A;6;;1519
Titolare;Thuram;A;7;imgBonus size-s imgBonus_1;3073
Titolare;Esposito Pio;A;5.5;;3744
Titolare;Malen;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_15;3877
Riserva;Corvi;P;;;2183
Riserva;Rinaldi;P;;;2376
Riserva;Bonny;A;5.75;;3380
Riserva;NDour;C;6;;3585
Riserva;Toure I.;C;6;;3725
Riserva;Kamara;D;5.75;;3085
Riserva;Marcandalli;D;5.5;;3362
